DEBUG 2015-10-06 06:22:31,763 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:22:31,763 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:22:31,769 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:22:31,769 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:22:33,232 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:22:33,232 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:22:33,238 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:22:33,238 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:25:42,178 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:25:42,178 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:25:42,184 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:25:42,184 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:25:43,572 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:25:43,572 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:25:43,579 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:25:43,579 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:27:09,760 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:27:09,760 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:27:09,766 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:27:09,766 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:27:11,248 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:27:11,248 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:27:11,254 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:27:11,254 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:28:53,054 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:28:53,054 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:28:53,060 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:28:53,060 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:28:54,464 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:28:54,464 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:28:54,470 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:28:54,470 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:30:44,161 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:30:44,161 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:30:44,167 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:30:44,167 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:30:45,679 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:30:45,679 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:30:45,685 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:30:45,685 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:34:57,178 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:34:57,178 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:34:57,184 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:34:57,184 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:34:58,595 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:34:58,595 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:34:58,601 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:34:58,601 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:37:53,622 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:37:53,622 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:37:53,628 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:37:53,628 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:37:55,042 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:37:55,043 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:37:55,051 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:37:55,051 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:40:28,909 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:40:28,909 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:40:28,915 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:40:28,915 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:40:30,351 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:40:30,351 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:40:30,358 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:40:30,358 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:44:48,763 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:44:48,763 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:44:48,770 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:44:48,770 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:44:50,246 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:44:50,246 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:44:50,252 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:44:50,252 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:46:11,699 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:46:11,699 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:46:11,705 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:46:11,705 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:46:13,209 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:46:13,209 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:46:13,215 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:46:13,215 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:47:33,806 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:47:33,806 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:47:33,812 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:47:33,812 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:47:44,048 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:47:44,048 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:47:44,055 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:47:44,055 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:47:45,547 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:47:45,547 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:47:45,552 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:47:45,552 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:51:05,448 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:51:05,448 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:51:05,454 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:51:05,454 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:51:06,889 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:51:06,889 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:51:06,896 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:51:06,896 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:54:41,554 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:54:41,554 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:54:41,560 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:54:41,560 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:54:43,109 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:54:43,109 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:54:43,116 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:54:43,116 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:55:43,698 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:55:43,698 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:55:43,705 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:55:43,705 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 06:55:45,165 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 06:55:45,165 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 06:55:45,171 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 06:55:45,171 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 07:39:16,050 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 07:39:16,050 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 07:39:16,057 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 07:39:16,058 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 07:39:17,547 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 07:39:17,547 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 07:39:17,553 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 07:39:17,553 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 07:41:48,524 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 07:41:48,524 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 07:41:48,530 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 07:41:48,530 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 07:41:50,035 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 07:41:50,036 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 07:41:50,042 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 07:41:50,042 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 07:45:20,339 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 07:45:20,339 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 07:45:20,345 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 07:45:20,345 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 07:45:21,758 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 07:45:21,759 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 07:45:21,765 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 07:45:21,765 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 09:48:39,968 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 09:48:39,968 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 09:48:40,061 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 09:48:40,061 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 09:48:41,466 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 09:48:41,466 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 09:48:41,472 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 09:48:41,472 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 10:01:25,993 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 10:01:25,994 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 10:01:25,999 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 10:01:25,999 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 10:01:27,382 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 10:01:27,382 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 10:01:27,388 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 10:01:27,388 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 10:06:42,947 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 10:06:42,947 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 10:06:42,954 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 10:06:42,954 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 10:06:44,358 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 10:06:44,358 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 10:06:44,364 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 10:06:44,364 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 10:16:20,100 crits.services.core Found service subclass: taxii_service version 2.0.1
DEBUG 2015-10-06 10:16:20,100 crits.services.core Registering Service taxii_service
DEBUG 2015-10-06 10:16:20,107 crits.services.core Found service subclass: virustotal_lookup version 3.1.0
DEBUG 2015-10-06 10:16:20,107 crits.services.core Registering Service virustotal_lookup
DEBUG 2015-10-06 10:16:21,548 crits.services.core Found service subclass: taxii_service version 2.0.1
